CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10014,921.69,1.00,2137.93,419.96,1717.97,0.00,0.75,0.17,0.75,0.00,0,26,7500,1655.89,251.14,0.08,12
C10015,2772.77,1.00,0.00,0.00,0.00,346.81,0.00,0.00,0.00,0.08,1,0,3000,805.65,989.96,0.00,12
C10016,6886.21,1.00,1611.70,0.00,1611.70,2301.49,0.50,0.00,0.50,0.17,4,11,8000,1993.44,2109.91,0.00,12
C10017,2072.07,0.88,0.00,0.00,0.00,2784.27,0.00,0.00,0.00,0.25,3,0,3000,391.97,376.58,0.00,8
C10018,41.09,0.45,519.00,0.00,519.00,0.00,0.42,0.00,0.33,0.00,0,8,2500,254.59,73.20,0.25,12
C10019,1989.07,1.00,504.35,166.00,338.35,0.00,0.67,0.08,0.58,0.00,0,9,13000,1720.84,744.61,0.00,12
C10020,3577.97,1.00,398.64,0.00,398.64,0.00,1.00,0.00,1.00,0.00,0,12,4000,1053.98,12465.55,0.00,12
C10021,2016.68,1.00,176.68,0.00,176.68,0.00,0.67,0.00,0.67,0.00,0,8,2000,223.07,13557.30,0.00,12
C10022,6369.53,1.00,6359.95,5910.04,449.91,229.03,1.00,0.92,1.00,0.33,6,92,11250,2077.96,1659.78,0.00,12
C10023,132.34,0.64,815.90,0.00,815.90,0.00,1.00,0.00,1.00,0.00,0,17,1800,2359.63,86.33,0.00,12
C10024,3800.15,0.82,4248.35,3454.56,793.79,7974.42,1.00,0.08,0.92,0.33,13,13,9000,9479.04,1425.43,0.00,12
C10025,5368.57,1.00,0.00,0.00,0.00,798.95,0.00,0.00,0.00,0.36,4,0,6000,1422.73,1657.00,0.00,11
C10026,169.78,1.00,399.60,0.00,399.60,0.00,1.00,0.00,1.00,0.00,0,12,3000,215.31,163.01,0.00,12
C10027,1615.97,1.00,102.00,102.00,0.00,244.84,0.17,0.17,0.00,0.25,5,2,1700,890.18,971.18,0.00,12
C10028,125.69,1.00,233.28,0.00,233.28,0.00,1.00,0.00,1.00,0.00,0,12,1000,207.77,164.75,0.00,12
C10029,7152.86,1.00,387.05,204.55,182.50,2236.15,0.67,0.17,0.42,0.83,16,8,10500,1601.45,1648.85,0.00,12
C10030,22.06,1.00,100.00,0.00,100.00,0.00,0.42,0.00,0.42,0.00,0,5,6900,160.77,159.68,0.00,12
C10031,12136.22,1.00,3038.01,1013.20,2024.81,3183.58,1.00,0.17,1.00,0.50,10,64,13000,4230.32,3292.02,0.00,12
C10032,1162.27,1.00,1347.71,400.00,947.71,175.82,1.00,0.08,1.00,0.17,2,45,6000,646.00,256.85,0.00,12
C10033,6732.82,1.00,324.95,324.95,0.00,1189.53,0.08,0.08,0.00,0.17,3,3,10500,1720.12,2506.75,0.00,12
C10034,125.66,1.00,636.79,636.79,0.00,0.00,0.92,0.92,0.00,0.00,0,11,1200,423.45,196.30,0.30,12
C10035,3517.10,0.73,547.28,0.00,547.28,0.00,1.00,0.00,1.00,0.00,0,14,11000,8735.61,17862.56,0.00,12
C10036,1656.35,1.00,0.00,0.00,0.00,99.26,0.00,0.00,0.00,0.08,1,0,1800,351.50,634.57,0.00,12
C10037,7427.08,1.00,0.00,0.00,0.00,8873.38,0.00,0.00,0.00,0.73,11,0,9000,1636.36,1986.84,0.00,11
C10038,4047.48,1.00,2380.55,1642.17,738.38,1697.66,0.75,0.50,0.75,0.33,7,41,5000,1617.89,1541.14,0.00,12
C10039,6269.42,1.00,204.00,204.00,0.00,2925.70,0.08,0.08,0.00,0.33,12,2,9000,1237.11,2049.41,0.00,12
C10040,1411.60,0.45,963.24,963.24,0.00,6173.68,0.08,0.08,0.00,0.33,6,6,7500,20071.08,719.95,0.33,12
C10041,663.45,0.73,0.00,0.00,0.00,3133.06,0.00,0.00,0.00,0.25,3,0,1800,3067.06,283.33,0.17,12
C10043,784.89,0.91,1526.59,786.30,740.29,2188.42,0.58,0.42,0.33,0.25,11,27,3000,1262.31,363.14,0.11,12
C10044,4104.71,1.00,203.82,203.82,0.00,0.00,0.08,0.08,0.00,0.00,0,1,4500,868.28,1801.26,0.00,12
C10045,1360.74,1.00,0.00,0.00,0.00,1481.59,0.00,0.00,0.00,0.08,1,0,1500,378.29,321.35,0.00,12
C10046,5315.95,1.00,1525.44,469.80,1055.64,0.00,1.00,0.33,1.00,0.00,0,20,8500,1430.34,1318.71,0.00,12
C10047,2242.31,1.00,437.00,97.00,340.00,184.65,0.33,0.08,0.33,0.17,2,5,2400,0.00,,0.00,12
C10048,474.45,0.50,109.74,0.00,109.74,1013.66,0.38,0.00,0.25,0.13,1,3,1700,176.01,147.20,0.00,8
C10049,3910.11,1.00,0.00,0.00,0.00,1980.87,0.00,0.00,0.00,0.50,7,0,4200,0.00,,0.00,12
C10050,229.87,1.00,2390.60,1402.93,987.67,0.00,1.00,0.67,1.00,0.00,0,87,3300,2543.95,175.66,0.92,12
C10051,863.81,1.00,507.50,507.50,0.00,695.10,0.17,0.17,0.00,0.08,2,3,4000,587.87,286.45,0.08,12
C10052,4931.33,1.00,901.42,646.07,255.35,8530.65,0.63,0.38,0.25,0.88,37,9,12000,8113.30,1012.42,0.00,8
C10053,1078.89,1.00,3107.85,2221.74,886.11,0.00,0.67,0.58,0.50,0.00,0,18,2500,1399.83,1322.45,0.00,12
C10054,1565.68,1.00,0.00,0.00,0.00,321.36,0.00,0.00,0.00,0.25,3,0,3500,691.83,581.48,0.00,12
C10055,464.67,0.89,1979.22,1979.22,0.00,1981.27,0.67,0.67,0.00,0.11,1,11,3000,3110.05,132.45,0.20,9
C10056,6.66,0.64,310.00,0.00,310.00,0.00,0.67,0.00,0.67,0.00,0,8,1000,417.02,,0.00,12
C10057,1312.00,1.00,1283.90,1283.90,0.00,0.00,0.25,0.25,0.00,0.00,0,6,6000,0.00,,0.00,12
C10058,3625.22,1.00,313.27,313.27,0.00,668.47,0.25,0.25,0.00,0.42,5,4,4000,0.00,,0.00,12
C10059,2386.33,1.00,5217.62,4789.09,428.53,0.00,0.92,0.92,0.50,0.00,0,42,7500,5678.73,1311.51,0.08,12
C10060,3971.14,1.00,0.00,0.00,0.00,224.58,0.00,0.00,0.00,0.18,3,0,4000,764.94,1600.21,0.00,11
C10061,5493.90,1.00,229.00,0.00,229.00,970.59,0.42,0.00,0.33,0.33,4,6,6000,2110.56,1895.03,0.00,12
C10062,1879.11,0.73,113.00,113.00,0.00,0.00,0.17,0.17,0.00,0.00,0,2,6500,3509.69,548.11,0.00,12
C10063,1555.79,1.00,66.20,66.20,0.00,0.00,0.08,0.08,0.00,0.00,0,1,1600,338.08,837.22,0.00,12
C10064,809.58,0.91,0.00,0.00,0.00,3819.67,0.00,0.00,0.00,0.55,7,0,4150,4372.15,241.65,0.09,11
C10065,7.15,0.09,840.00,840.00,0.00,0.00,0.08,0.08,0.00,0.00,0,1,1600,0.00,,0.00,12
C10067,1923.89,1.00,1887.64,0.00,1887.64,1605.95,1.00,0.00,1.00,0.08,4,61,1850,3688.05,3267.00,0.08,12
C10068,1758.06,1.00,412.33,325.21,87.12,0.00,0.58,0.33,0.17,0.00,0,11,1800,777.45,897.91,0.00,12
C10069,809.85,0.88,0.00,0.00,0.00,908.42,0.00,0.00,0.00,0.13,1,0,1500,146.07,179.41,0.00,8
C10070,1576.31,1.00,0.00,0.00,0.00,382.91,0.00,0.00,0.00,0.42,6,0,2500,540.02,352.88,0.00,12
C10071,3990.52,1.00,263.50,190.60,72.90,0.00,0.67,0.08,0.58,0.00,0,8,6000,6876.84,1001.61,0.08,12
C10072,1699.44,1.00,1363.69,1363.69,0.00,0.00,0.33,0.33,0.00,0.00,0,4,1700,1623.82,923.51,0.00,12
C10073,5487.68,1.00,419.10,0.00,419.10,625.40,0.92,0.00,0.83,0.33,4,11,6250,1288.21,2180.88,0.00,12
C10074,2990.42,0.91,4523.27,1664.09,2859.18,27296.49,0.67,0.50,0.58,0.83,27,33,7000,28232.69,1107.03,0.45,12
C10075,656.01,1.00,0.00,0.00,0.00,1474.35,0.00,0.00,0.00,0.13,3,0,7000,910.46,140.98,0.25,8
C10077,1808.97,1.00,713.90,503.08,210.82,0.00,0.50,0.10,0.40,0.00,0,8,2250,889.02,622.76,0.00,10
C10078,532.33,0.91,791.94,516.64,275.30,0.00,0.27,0.09,0.18,0.00,0,7,6000,1305.18,175.51,0.00,11
C10079,5860.43,1.00,561.87,249.50,312.37,0.00,0.83,0.17,0.75,0.00,0,14,6000,1990.04,2161.43,0.00,12
C10080,1727.64,1.00,606.11,606.11,0.00,0.00,1.00,1.00,0.00,0.00,0,17,11000,2959.92,623.66,0.00,12
C10081,578.81,1.00,320.00,0.00,320.00,0.00,0.75,0.00,0.67,0.00,0,8,1500,1438.91,190.19,0.00,12
C10082,1205.72,1.00,0.00,0.00,0.00,38.33,0.00,0.00,0.00,0.08,1,0,1200,29.28,8242.69,0.00,12
C10083,6593.82,1.00,388.66,388.66,0.00,4621.93,0.58,0.58,0.00,0.42,7,7,7000,1624.58,2503.40,0.00,12
C10084,17.36,0.91,244.85,40.21,204.64,0.00,0.67,0.17,0.58,0.00,0,13,5000,357.80,121.52,0.18,12
C10085,81.58,0.27,0.00,0.00,0.00,2985.30,0.00,0.00,0.00,0.17,5,0,9500,116.57,164.69,0.00,12
C10086,3.79,0.64,133.05,28.20,104.85,0.00,0.42,0.17,0.25,0.00,0,5,12000,210.05,99.53,0.44,12
C10087,42.46,0.55,396.00,0.00,396.00,0.00,0.50,0.00,0.42,0.00,0,12,1200,725.61,140.81,1.00,12
C10088,1935.36,1.00,4915.60,4515.34,400.26,293.84,1.00,1.00,0.33,0.08,1,50,9000,4921.07,594.76,0.00,12
C10089,134.92,1.00,1247.80,1247.80,0.00,0.00,1.00,1.00,0.00,0.00,0,22,16500,1275.23,171.36,1.00,12
C10090,7069.95,1.00,1603.78,1445.14,158.64,5626.00,1.00,0.83,1.00,0.75,23,23,11000,4589.87,1876.26,0.00,12
C10092,8181.25,1.00,2258.01,1318.78,939.23,5251.23,1.00,0.75,1.00,0.75,21,60,13500,3021.58,2074.58,0.00,12
C10093,4037.31,1.00,45.00,45.00,0.00,104.24,0.08,0.08,0.00,0.08,1,1,4500,1073.84,968.94,0.00,12
C10094,6110.27,1.00,0.00,0.00,0.00,2717.25,0.00,0.00,0.00,0.42,14,0,6500,1502.21,2864.38,0.00,12
C10095,9381.26,1.00,5100.07,1147.83,3952.24,370.74,1.00,0.25,0.92,0.08,1,46,9000,6409.50,9827.05,0.00,12
C10096,1977.01,1.00,1032.04,226.90,805.14,4335.92,0.91,0.09,0.82,0.55,21,17,4000,3056.42,910.71,0.09,11
C10097,1321.48,1.00,45.65,45.65,0.00,495.66,0.08,0.08,0.00,0.08,1,1,1800,440.84,312.56,0.00,12
C10098,1307.72,1.00,405.60,405.60,0.00,0.00,0.17,0.17,0.00,0.00,0,2,2400,0.00,,0.00,12
C10099,2329.49,1.00,213.34,213.34,0.00,0.00,0.25,0.25,0.00,0.00,0,3,2400,0.00,,0.00,12
C10100,1139.78,1.00,0.00,0.00,0.00,120.61,0.00,0.00,0.00,0.08,1,0,1200,151.82,2906.11,0.00,12
C10101,1619.96,1.00,739.44,739.44,0.00,0.00,0.67,0.67,0.00,0.00,0,11,6000,417.13,389.14,0.00,12
C10102,3505.67,1.00,0.00,0.00,0.00,1713.98,0.00,0.00,0.00,0.50,6,0,4000,0.00,,0.00,12
C10103,4.71,0.36,79.00,0.00,79.00,0.00,0.25,0.00,0.17,0.00,0,3,7000,217.82,121.78,1.00,12
C10104,0.00,0.00,0.00,0.00,0.00,89.85,0.00,0.00,0.00,0.14,1,0,3000,138.02,,0.00,7
C10105,4.88,0.67,20.00,20.00,0.00,0.00,0.11,0.11,0.00,0.00,0,1,1500,26.49,60.91,0.00,9
C10106,23.39,0.27,1346.28,0.00,1346.28,0.00,1.00,0.00,1.00,0.00,0,12,2000,712.15,54.79,0.00,12
C10107,3539.80,1.00,2823.80,1540.41,1283.39,0.00,0.92,0.92,0.83,0.00,0,75,5700,9172.79,2103.80,0.08,12
C10108,0.62,0.09,389.96,0.00,389.96,0.00,1.00,0.00,1.00,0.00,0,31,4500,0.00,,0.00,12
C10109,862.07,1.00,0.00,0.00,0.00,920.31,0.00,0.00,0.00,0.08,1,0,4000,2236.89,214.83,0.08,12
C10110,2441.54,1.00,808.00,808.00,0.00,959.86,0.25,0.25,0.00,0.33,6,4,4000,532.74,1026.98,0.00,12
C10111,408.66,1.00,941.64,0.00,941.64,0.00,1.00,0.00,1.00,0.00,0,12,2500,1097.79,176.61,0.08,12
C10112,4986.40,1.00,0.00,0.00,0.00,5439.47,0.00,0.00,0.00,0.58,40,0,8000,1241.54,1439.23,0.00,12
C10113,1246.62,1.00,423.70,177.64,246.06,412.40,0.67,0.17,0.50,0.08,2,10,2000,577.05,498.37,0.00,12
C10114,6644.20,1.00,4478.75,2721.59,1757.16,7205.52,1.00,0.92,1.00,0.58,21,64,9000,10857.94,2469.57,0.08,12
C10115,156.22,0.82,1354.86,585.63,769.23,0.00,0.92,0.33,0.83,0.00,0,34,5500,858.98,108.32,0.00,12
C10116,3393.35,1.00,0.00,0.00,0.00,1008.35,0.00,0.00,0.00,0.08,2,0,4200,0.00,,0.00,12
C10117,5322.99,1.00,2812.20,857.12,1955.08,2510.35,1.00,0.25,1.00,0.33,8,81,8500,1509.42,1834.03,0.00,12
C10118,6458.56,1.00,0.00,0.00,0.00,3360.23,0.00,0.00,0.00,0.25,11,0,7000,1277.77,2760.12,0.00,12
C10119,175.34,0.82,1508.90,1252.36,256.54,0.00,0.67,0.42,0.33,0.00,0,14,5000,1884.23,136.64,1.00,12
C10120,680.20,1.00,1045.57,667.95,377.62,0.00,1.00,0.58,1.00,0.00,0,25,3000,552.43,207.72,0.00,12
C10121,223.76,0.64,2309.78,0.00,2309.78,0.00,0.58,0.00,0.50,0.00,0,12,6500,1206.81,99.37,0.33,12
C10122,1785.63,1.00,0.00,0.00,0.00,576.21,0.00,0.00,0.00,0.25,10,0,1800,687.69,2439.14,0.00,12
C10123,54.93,0.27,495.00,0.00,495.00,0.00,0.17,0.00,0.17,0.00,0,2,7000,1969.85,147.05,1.00,12
C10124,2662.63,1.00,0.00,0.00,0.00,509.02,0.00,0.00,0.00,0.33,4,0,3000,932.42,709.21,0.00,12
C10125,8504.88,1.00,6724.26,4100.08,2624.18,1686.60,1.00,0.92,1.00,0.50,10,85,17000,1888.76,2167.45,0.00,12
C10126,1464.32,1.00,1174.39,1174.39,0.00,0.00,0.25,0.25,0.00,0.00,0,8,9000,0.00,,0.00,12
C10127,2114.16,1.00,5580.85,0.00,5580.85,0.00,1.00,0.00,1.00,0.00,0,75,8500,3564.98,630.00,0.00,12
C10128,2876.40,1.00,0.00,0.00,0.00,998.85,0.00,0.00,0.00,0.17,2,0,3200,1065.43,1412.65,0.00,12
C10130,14224.12,1.00,0.00,0.00,0.00,4614.43,0.00,0.00,0.00,0.33,9,0,19000,3066.61,3406.26,0.00,12
C10131,2392.92,1.00,12462.44,12462.44,0.00,0.00,0.92,0.92,0.00,0.00,0,217,2800,11628.72,2000.99,0.00,12
C10132,57.45,0.75,0.00,0.00,0.00,272.71,0.00,0.00,0.00,0.13,1,0,1200,385.85,84.70,0.17,8
C10133,4245.86,1.00,1957.30,1077.30,880.00,0.00,0.83,0.17,0.58,0.00,0,19,5000,1004.35,1086.43,0.00,12
C10134,11167.23,1.00,150.64,150.64,0.00,8362.15,0.08,0.08,0.00,0.50,14,1,17000,2606.06,2894.08,0.00,12
C10135,69.41,0.09,0.00,0.00,0.00,2799.71,0.00,0.00,0.00,0.08,3,0,13000,0.00,,0.00,12
C10136,116.65,0.27,907.00,907.00,0.00,273.56,0.25,0.25,0.00,0.08,1,8,5000,0.00,,0.00,12
C10137,4637.85,1.00,1271.12,351.54,919.58,0.00,0.83,0.25,0.83,0.00,0,33,5000,1906.03,3572.28,0.00,12
C10138,24.28,0.64,250.60,0.00,250.60,0.00,0.58,0.00,0.50,0.00,0,7,3000,319.76,173.63,0.00,12
C10139,9354.06,1.00,796.33,796.33,0.00,13748.47,0.08,0.08,0.00,0.67,16,1,13000,10664.66,2600.88,0.08,12
C10140,231.11,1.00,440.00,0.00,440.00,0.00,0.92,0.00,0.92,0.00,0,22,4000,554.12,185.09,0.00,12
C10141,1562.63,1.00,1330.62,1169.63,160.99,0.00,0.50,0.17,0.25,0.00,0,8,2000,1020.78,709.61,0.00,12
C10142,2494.87,1.00,5491.79,1390.50,4101.29,0.00,1.00,0.50,1.00,0.00,0,52,17000,1015.31,615.92,0.00,12
C10143,706.13,1.00,897.86,714.52,183.34,586.27,0.92,0.33,0.92,0.25,3,18,1200,972.36,184.52,0.00,12
C10144,19043.14,1.00,22009.92,9449.07,12560.85,0.00,1.00,0.75,1.00,0.00,0,216,18000,23018.58,18621.01,0.00,12
C10145,2235.10,1.00,720.60,720.60,0.00,723.31,1.00,1.00,0.00,0.08,1,12,2500,1061.29,689.12,0.00,12
C10146,947.13,1.00,197.06,148.66,48.40,0.00,0.33,0.25,0.17,0.00,0,5,1000,492.20,509.38,0.00,12
C10147,764.04,0.82,0.00,0.00,0.00,1307.10,0.00,0.00,0.00,0.17,3,0,7500,1566.81,172.96,0.00,12
C10148,5347.81,1.00,0.00,0.00,0.00,4002.35,0.00,0.00,0.00,0.50,9,0,7000,0.00,,0.00,12
C10149,10598.47,1.00,2084.48,1300.48,784.00,0.00,0.67,0.42,0.58,0.00,0,13,21500,3219.62,3068.13,0.00,12
C10150,2163.68,1.00,5779.36,3436.53,2342.83,0.00,1.00,1.00,1.00,0.00,0,97,6500,4416.41,546.44,0.00,12
C10151,3057.40,1.00,1025.00,1025.00,0.00,0.00,0.08,0.08,0.00,0.00,0,2,7500,698.85,819.68,0.00,12
C10152,19.35,0.91,689.70,0.00,689.70,0.00,0.83,0.00,0.83,0.00,0,10,10000,746.69,,0.00,12
C10153,264.81,1.00,28.65,28.65,0.00,384.26,0.08,0.08,0.00,0.08,1,1,9000,1235.63,194.32,0.08,12
C10154,1108.22,0.91,944.96,164.96,780.00,0.00,0.50,0.25,0.42,0.00,0,9,1500,1955.20,992.65,0.00,12
C10155,906.57,1.00,1039.20,80.00,959.20,103.10,0.83,0.08,0.83,0.08,1,11,13500,1855.24,468.20,0.08,12
C10156,7679.63,1.00,4059.93,0.00,4059.93,555.47,0.58,0.00,0.50,0.17,7,14,7000,3685.61,12854.94,0.00,12
C10157,1523.91,1.00,4075.37,3322.28,753.09,0.00,1.00,1.00,1.00,0.00,0,31,6500,2254.26,329.30,0.00,12
C10158,49.21,1.00,870.24,0.00,870.24,0.00,1.00,0.00,1.00,0.00,0,24,8000,835.84,193.01,1.00,12
C10159,13673.08,1.00,9792.23,3959.81,5832.42,2444.45,1.00,0.75,1.00,0.75,26,216,20000,11717.31,6042.39,0.00,12
C10160,106.46,0.64,2463.12,789.53,1673.59,0.00,1.00,0.50,1.00,0.00,0,46,4000,2573.72,95.34,0.64,12
C10161,119.76,0.36,1859.34,0.00,1859.34,0.00,0.33,0.00,0.25,0.00,0,4,20000,3104.28,288.90,0.25,12
C10162,5837.11,1.00,3488.49,3262.25,226.24,3303.15,1.00,1.00,0.50,0.75,15,46,7900,0.00,,0.00,12
C10163,1734.51,1.00,0.00,0.00,0.00,66.28,0.00,0.00,0.00,0.17,2,0,1800,363.47,2828.00,0.00,12
C10164,2765.75,1.00,7283.31,5087.31,2196.00,0.00,1.00,1.00,0.67,0.00,0,77,11000,14373.39,1058.13,0.25,12
C10165,1046.37,1.00,295.00,295.00,0.00,93.58,0.08,0.08,0.00,0.08,1,2,1200,439.41,362.84,0.00,12
C10166,2737.37,1.00,0.00,0.00,0.00,429.69,0.00,0.00,0.00,0.42,5,0,3000,778.83,721.80,0.00,12
C10167,4014.82,1.00,0.00,0.00,0.00,988.36,0.00,0.00,0.00,0.08,1,0,8500,1009.19,1177.15,0.00,12
C10168,871.57,1.00,648.22,115.00,533.22,0.00,1.00,0.08,1.00,0.00,0,27,1200,1110.89,208.30,0.00,12
C10169,1610.04,1.00,557.19,525.64,31.55,0.00,0.25,0.08,0.17,0.00,0,5,4000,422.71,616.01,0.00,12
C10170,114.59,1.00,469.98,0.00,469.98,0.00,1.00,0.00,0.83,0.00,0,6,1000,367.11,86.10,0.50,6
C10171,5800.59,1.00,0.00,0.00,0.00,369.95,0.00,0.00,0.00,0.08,1,0,6500,1346.37,1972.53,0.00,12
C10172,823.10,0.36,131.64,0.00,131.64,0.00,1.00,0.00,1.00,0.00,0,12,8000,2916.07,243.20,0.00,12
C10173,595.68,1.00,5078.14,4330.53,747.61,1424.44,0.92,0.67,0.75,0.08,1,42,15000,4756.65,241.89,0.92,12
C10174,1128.12,1.00,924.60,0.00,924.60,0.00,1.00,0.00,1.00,0.00,0,12,1000,1202.71,1747.04,0.00,12
C10175,349.44,1.00,1975.40,1393.50,581.90,0.00,0.67,0.42,0.33,0.00,0,17,4000,1795.01,167.22,0.00,12
C10176,840.80,0.67,0.00,0.00,0.00,3671.78,0.00,0.00,0.00,0.22,5,0,4000,3621.27,193.17,0.00,9
C10177,975.94,1.00,10221.35,7141.38,3079.97,1620.69,1.00,1.00,0.83,0.58,18,130,10500,10693.50,347.64,0.75,12
C10178,23.11,0.36,300.00,0.00,300.00,0.00,0.25,0.00,0.17,0.00,0,3,12500,291.95,43.45,0.18,12
C10179,2187.73,0.86,0.00,0.00,0.00,3905.33,0.00,0.00,0.00,0.29,9,0,3000,1423.79,461.37,0.20,7
C10180,11972.01,1.00,5715.00,4685.54,1029.46,1626.35,1.00,1.00,1.00,0.17,3,90,14000,4639.51,3192.31,0.00,12
C10181,1608.45,1.00,0.00,0.00,0.00,205.74,0.00,0.00,0.00,0.17,2,0,1800,470.57,408.80,0.00,12
C10182,1872.93,1.00,766.61,766.61,0.00,1017.12,0.83,0.83,0.00,0.25,5,12,2300,0.00,,0.00,12
C10183,2933.24,1.00,0.00,0.00,0.00,2040.43,0.00,0.00,0.00,0.58,13,0,3000,2431.58,1739.75,0.00,12
C10184,336.80,1.00,3535.80,1614.70,1921.10,0.00,1.00,0.42,0.92,0.00,0,44,20000,2814.23,186.23,1.00,12
C10185,36.24,0.45,256.11,0.00,256.11,0.00,0.42,0.00,0.42,0.00,0,5,5300,831.38,189.04,0.17,12
C10186,903.30,1.00,2697.48,150.50,2546.98,0.00,1.00,0.33,1.00,0.00,0,39,2500,1686.20,303.36,0.00,12
C10187,0.00,0.00,23.00,0.00,23.00,0.00,0.08,0.00,0.08,0.00,0,1,5000,0.00,,0.00,12
C10188,2881.25,1.00,117.00,0.00,117.00,17661.49,0.25,0.00,0.17,0.75,28,3,4500,17301.83,931.62,0.17,12
C10189,5.47,0.09,196.81,173.00,23.81,0.00,0.08,0.08,0.08,0.00,0,3,12000,0.00,,0.00,12
C10190,117.44,1.00,653.73,493.00,160.73,0.00,0.67,0.42,0.42,0.00,0,15,10000,441.59,136.83,0.00,12
C10191,168.52,0.82,2009.05,0.00,2009.05,0.00,0.83,0.00,0.75,0.00,0,22,1200,2612.76,197.64,0.14,12
C10192,1706.01,1.00,147.78,0.00,147.78,1657.09,0.17,0.00,0.17,0.25,4,2,6000,1186.06,374.60,0.00,12
C10193,874.58,1.00,516.54,159.07,357.47,0.00,1.00,0.33,0.92,0.00,0,30,900,579.75,693.89,0.00,12
C10194,861.00,1.00,969.56,969.56,0.00,446.23,0.42,0.42,0.00,0.08,1,6,2400,0.00,,0.00,12
C10196,966.25,1.00,311.45,311.45,0.00,955.96,0.33,0.33,0.00,0.08,1,15,1500,277.52,286.30,0.00,12
C10197,38.62,0.73,280.40,280.40,0.00,0.00,0.25,0.25,0.00,0.00,0,3,6150,254.39,55.80,0.09,12
C10198,189.69,1.00,66.14,66.14,0.00,0.00,0.08,0.08,0.00,0.00,0,2,6000,0.00,,0.00,12
C10199,40.42,0.36,79.20,79.20,0.00,1631.58,0.08,0.08,0.00,0.08,1,1,4000,1647.88,24.82,0.08,12
C10200,5462.90,1.00,1453.32,0.00,1453.32,0.00,0.50,0.00,0.50,0.00,0,18,16500,1382.27,1755.25,0.00,12
C10201,3983.92,1.00,756.54,756.54,0.00,0.00,0.50,0.50,0.00,0.00,0,15,4000,1110.87,1431.20,0.00,12
C10202,5588.85,1.00,3507.35,603.75,2903.60,0.00,0.92,0.17,0.83,0.00,0,34,11500,1412.60,1825.18,0.00,12
C10203,281.17,0.82,3163.69,56.80,3106.89,0.00,0.75,0.08,0.67,0.00,0,36,8000,2422.91,187.05,0.89,12
C10204,130.25,0.91,1343.19,1082.79,260.40,0.00,1.00,1.00,0.58,0.00,0,33,15000,1043.56,182.43,0.55,12
C10205,1973.81,1.00,873.00,873.00,0.00,0.00,0.17,0.17,0.00,0.00,0,5,8000,541.72,762.68,0.00,12
C10206,5698.54,1.00,47.55,0.00,47.55,2039.53,0.17,0.00,0.17,0.75,14,2,6000,2976.58,3463.17,0.00,12
C10207,43.10,0.45,370.00,370.00,0.00,0.00,0.17,0.17,0.00,0.00,0,2,23000,1212.05,68.73,0.00,12
